,precision,recall,f1-score,support
A,0.7320046439628483,0.8207854198307659,0.7738570113531759,4609.0
B,0.9399531042919768,0.9967567567567568,0.9675219056613672,9250.0
C,0.833730522456462,0.8736073761044948,0.8532032642341244,5206.0
D,0.9148069718195145,0.8972679341747883,0.9059525729956445,6259.0
E,0.7788577154308617,0.999357161223965,0.8754364230206104,7778.0
F,0.8172124904798173,0.6072439162422184,0.6967532467532467,1767.0
G,0.8152599594868333,0.88792469480806,0.8500422416220784,6799.0
H,0.4864864864864865,0.014742014742014743,0.028616852146263912,1221.0
I,0.6741573033707865,0.449438202247191,0.5393258426966291,1068.0
J,0.6910299003322259,0.1873873873873874,0.294826364280652,1110.0
L,0.8064516129032258,0.1341381623071764,0.23001725129384706,1491.0
M,0.8353564334583977,0.8943761814744802,0.8638594088782382,4232.0
N,0.8360572012257406,0.7114298131247284,0.7687250528293026,4602.0
Z,0.7461406518010292,0.558408215661104,0.6387665198237885,1558.0
micro avg,0.8345496618013528,0.8232660228270413,0.8288694422345974,56950.0
macro avg,0.7791074998218718,0.6452045168632237,0.6633502826849264,56950.0
weighted avg,0.8254291334021523,0.8232660228270413,0.8062869313189235,56950.0
samples avg,0.8347076190476191,0.8329949789099789,0.8205859784762881,56950.0
